Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Impact
1951,1,21,,,Lamington,New Guinea,Papua New Guinea,-9.35.00,148.15.00,1680,Stratovolcano,4,P,2942,4,,,,2,,,,,6
1951,8,31,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,4,,7,1,,,,,,,,,1
1951,11,5,,,Hakoneyama,Honshu-Japan,Japan,38.53.00,139.21.00,1438,Complex volcano,,G,2,1,,,,,,,,,1
1951,12,4,,,Camiguin,Mindanao-Philippines,Philippines,12.23,135.13.00,1552,Stratovolcano,3,P,500,3,1500,4,,,,,,,7
1952,3,27,,,Hakoneyama,Honshu-Japan,Japan,38.53.00,139.21.00,1438,Complex volcano,,G,1,1,,,,,,,,,1
1952,9,24,1826,,Myojinsho,Izu Is-Japan,Japan,45.48.00,154.18.00,11,Submarine volcano,2,P,31,1,,,,,,1,,,2
1952,,,,,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,1,,12,1,,,,,,,,,1
1953,4,27,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,2,T,6,1,,,,,,,,,1
1953,6,,,,Sirung,Lesser Sunda Is,Indonesia,-16.17.00,126.11.00,1347,Complex volcano,0,,5,1,,,1,1,,,,,2
1953,7,26,,,Hakoneyama,Honshu-Japan,Japan,38.53.00,139.21.00,1438,Complex volcano,,A,10,1,,,,,,,,,1
1953,10,5,,,Izu-Oshima,Izu Is-Japan,Japan,46.04.00,145.34.00,746,Stratovolcano,1,,1,1,,,,,,,,,1
1953,12,24,,,Ruapehu,New Zealand,New Zealand,-39.28.00,175.57.00,2797,Stratovolcano,,m,151,3,,,,,,,,,3
1954,1,18,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,P,64,2,,,57,2,,2,144,3,9
1954,7,21,,,Midagahara,Honshu-Japan,Japan,45.31.00,137.59.00,2621,Stratovolcano,,G,1,1,,,,,,,,,1
1954,8,3,,,Bam,New Guinea-NE of,Papua New Guinea,-13.13.00,157.38.00,685,Stratovolcano,2,I,,,,,,2,,,,,2
1954,,,,,Camiguin,Mindanao-Philippines,Philippines,12.23,135.13.00,1552,Stratovolcano,,m,2,1,,,,,,,,,1
1955,7,26,,,Carran-Los Venados,Chile-C,Chile,-40.35.00,-72.07.00,1114,Pyroclastic cone,4,G,2,1,,,,,,,,,1
1955,10,13,,,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,3,,,1,,,,,,,,,1
1957,7,,,,Unzendake,Kyushu-Japan,Japan,44.41.00,134.59.00,1483,Complex volcano,,m,13,1,,,,,,,,,1
1957,10,13,,,Izu-Oshima,Izu Is-Japan,Japan,46.04.00,145.34.00,746,Stratovolcano,2,T,1,1,,,53,2,,,,,3
1957,10,,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,2,T,12,1,,,,,,,,,1
1958,7,12,,,Mahawu,Sulawesi-Indonesia,Indonesia,6.52,138.25.00,1299,Stratovolcano,2,M,1,1,,,10,1,,,,,2
1958,7,21,,,Taisetsuzan,Hokkaido-Japan,Japan,54.04.00,156.14.00,2291,Stratovolcano,,G,2,1,,,,,,,,,1
1961,1,25,,,Calbuco,Chile-S,Chile,-41.33.00,-82.18.00,1974,Stratovolcano,3,,,,,,,,,1,,,1
1961,4,23,,,Midagahara,Honshu-Japan,Japan,45.31.00,137.59.00,2621,Stratovolcano,,G,1,1,,,,,,,,,1
1961,5,8,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,3,P,6,1,,,6,1,,2,,3,7
1961,6,18,,,Taisetsuzan,Hokkaido-Japan,Japan,54.04.00,156.14.00,2291,Stratovolcano,,G,2,1,,,,,,,,,1
1961,8,18,,,Asamayama,Honshu-Japan,Japan,42.46.00,146.43.00,2568,Complex volcano,2,T,1,1,,,,,,,,,1
1962,6,29,,,Tokachidake,Hokkaido-Japan,Japan,49.58.00,153.26.00,2077,Stratovolcano,3,T,5,1,,,11,1,,,,,2
1962,10,,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,m,2,1,,,5,1,,,,,2
1962,12,31,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,2,,5,1,,,5,1,,,,,2
1963,3,17,,,Irazu,Costa Rica,Costa Rica,25.19.00,-97.12.00,3436,Stratovolcano,3,T,15,1,,,,,,,,,1
1963,3,18,1942,,Agung,Lesser Sunda Is,Indonesia,-13.43.00,123.28.00,2997,Stratovolcano,5,"P,T,M,A",1028,4,,3,624,3,,,,,10
1963,5,5,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,2,T,1,1,,,,,,,,,1
1963,5,16,,4292,Agung,Lesser Sunda Is,Indonesia,-13.43.00,123.28.00,2997,Stratovolcano,3,,120,2,,,,,,,,,2
1963,5,21,,,Villarrica,Chile-C,Chile,-39.42.00,-72.33.00,2847,Stratovolcano,2,M,,1,,,,,,,,,1
1963,9,5,,,Batur,Lesser Sunda Is,Indonesia,-8.24.00,121.18.00,1711,Caldera,2,,2,1,,,,,,,,1,2
1963,9,28,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,3,M,7,1,,,,,,,,,1
1963,12,10,,,Irazu,Costa Rica,Costa Rica,25.19.00,-97.12.00,3436,Stratovolcano,3,"M,T",40,1,,,,1,,2,400,3,7
1964,1,1,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32.00,132.48.00,875,Stratovolcano,2,,1,1,,,3,1,,,,,2
1964,3,3,,,Villarrica,Chile-C,Chile,-39.42.00,-72.33.00,2847,Stratovolcano,2,M,25,1,,,,,,,,,1
1964,12,13,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Complex volcano,1,,114,3,,,,,,,,,3
1965,9,28,1977,,Taal,Luzon-Philippines,Philippines,14.11,136.38.00,311,Stratovolcano,4,"P,W",355,3,,,,,,1,,1,5
1966,4,26,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,4,"M,m,P",215,3,78,2,86,2,,,,,7
1966,8,12,,,Awu,Sangihe Is-Indonesia,Indonesia,14.29,132.27.00,1318,Stratovolcano,4,"P,M,I",39,1,,,1000,3,,,,2,6
1966,8,14,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-14.44.00,50.14.00,2962,Stratovolcano,4,,,,,,,,,1,,,1
1966,11,6,,,Rincon de la Vieja,Costa Rica,Costa Rica,11.23,-90.24.00,1916,Complex volcano,3,"P,T,G",,,,,,,,1,,,1
1967,7,8,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-14.44.00,50.14.00,2962,Stratovolcano,3,,,,,,,,,1,,,1
1967,8,31,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,M,3,1,,,,,,1,,,2
1967,11,4,,,Midagahara,Honshu-Japan,Japan,45.31.00,137.59.00,2621,Stratovolcano,,G,2,1,,,,,,,,,1
1968,4,21,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,3,"M,P",6,1,,,,,,,,,1
1968,7,29,,,Arenal,Costa Rica,Costa Rica,17.43,-95.43.00,1670,Stratovolcano,3,"P,T",80,2,,,,,,1,,,3
1969,1,7,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,P,3,1,,,,,,,,,1
1969,1,28,,,Iya,Lesser Sunda Is,Indonesia,-22.51.00,131.41.00,618,Stratovolcano,3,"T,m",2,1,,,10,1,,,287,3,5
1969,8,26,,,Naruko,Honshu-Japan,Japan,50.09.00,152.14.00,470,Caldera,,G,1,1,,,,,,,,,1
1970,3,2,,,Campi Flegrei,Italy,Italy,53.47.00,16.19,458,Caldera,,S,3,1,,,,,,1,,1,3
1970,5,5,,,Hekla,Iceland-S,Iceland,79.23.00,-30.06.00,1490,Stratovolcano,3,,,,,,,,,1,,,1
1971,8,12,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-73.37.00,1905,Stratovolcano,3,M,5,1,,,,,,,,,1
1971,9,14,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,3,"M,T",10,1,,,,,,,,,1
1971,10,28,,,La Palma,Canary Is,Spain,28.57.00,-18.23.00,2426,Stratovolcano,2,,,1,,,,,,1,,,2
1971,10,29,,,Villarrica,Chile-C,Chile,-39.42.00,-72.33.00,2847,Stratovolcano,2,M,15,1,,,,,,,,,1
1971,12,27,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,46.18.00,146.48.00,2165,Stratovolcano,,G,6,1,,,,,,,,,1
1972,8,,,,"Fournaise, Piton de la",Indian O-W,Reunion,-25.04.00,66.48.00,2632,Shield volcano,2,I,3,1,,,,,,,,,1
1972,10,2,,,Hakoneyama,Honshu-Japan,Japan,38.53.00,139.21.00,1438,Complex volcano,,,2,1,,,,,,,,,1
1973,1,27,,,Vestmannaeyjar,Iceland-S,Iceland,69.56.00,-24.26.00,283,Submarine volcano,3,G,1,1,,,,,,,300,3,4
1973,1,,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32.00,132.48.00,875,Stratovolcano,3,,,,,,,,,1,,1,2
1973,4,5,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-73.37.00,1905,Stratovolcano,,M,2,1,,,,,,1,,1,3
1974,2,11,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,3,A,4,1,,,,,,,,,1
1974,6,17,,,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,3,M,3,1,,,,,,,,,1
1974,7,28,,,Niigata-Yakeyama,Honshu-Japan,Japan,51.21.00,138.36.00,2400,Lava dome,2,T,3,1,,,,,,,,,1
1974,8,9,,,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,3,M,5,1,,,,,,,,,1
1974,10,10,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,4,"T,M",,1,,,,,,2,,3,6
1974,10,22,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,M,9,1,,,,,,,6,1,2
1975,1,,,,Marapi,Sumatra,Indonesia,-0.38.00,107.54.00,2885,Complex volcano,2,M,80,2,,,,,,3,,3,8
1975,6,17,,,Arenal,Costa Rica,Costa Rica,17.43,-95.43.00,1670,Stratovolcano,3,,2,1,,,,1,,,,,2
1976,8,3,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,46.18.00,146.48.00,2165,Stratovolcano,,G,3,1,,,,,,,,,1
1976,8,12,,,Sangay,Ecuador,Ecuador,-2.05.00,-83.41.00,5286,Stratovolcano,3,T,2,1,,,4,1,,,,,2
1976,8,31,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,2,M,119,3,,,,,,,,,3
1976,9,15,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,2,"P,L",1,1,,,1,1,,,24,1,3
1976,11,25,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,M,29,1,,,,,,,306,3,4
1977,1,10,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52.00,29.25.00,3470,Stratovolcano,1,L,,2,,,,,,3,,,5
1977,4,5,,,Karthala,Indian O-W,Comoros,-12.15.00,43.38.00,2361,Shield volcano,1,L,1,1,,,,,,1,293,3,5
1977,4,27,,,Krafla,Iceland-NE,Iceland,76.55.00,-28.08.00,800,Caldera,1,,,,,,,,,1,,,1
1977,8,2,,,Klyuchevskoy,Kamchatka,Russia,56.56.00,170.42.00,4754,Stratovolcano,3,T,1,1,,,,,,,,,1
1977,8,7,,,Toya,Hokkaido-Japan,Japan,51.04.00,153.59.00,733,Stratovolcano,3,I,3,1,,,,,,,,,1
1978,7,29,,,Bulusan,Luzon-Philippines,Philippines,24.49.00,124.56.00,1535,Stratovolcano,2,,,,,,,,,1,,,1
1978,9,2,,,Santa Maria,Guatemala,Guatemala,26.37.00,-100.12.00,3745,Stratovolcano,3,M,1,1,,,,,,,,,1
1978,9,19,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,M,12,1,,,,,,,,,1
1978,10,24,,,Toya,Hokkaido-Japan,Japan,51.04.00,153.59.00,733,Stratovolcano,3,m,3,1,,,2,1,,,,,2
1978,,,,,Tangkuban Parahu,Java,Indonesia,-7.17.00,107.6,2084,Stratovolcano,,I,3,1,,,,,,,,,1
1978,,,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Complex volcano,,I,3,1,,,,,,,,,1
1979,2,20,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Complex volcano,1,G,149,3,,,,,,,,,3
1979,3,8,,,Karkar,New Guinea-NE of,Papua New Guinea,-14.47.00,161.16.00,1839,Stratovolcano,2,P,2,1,,,,,,,,,1
1979,4,13,,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18.00,1220,Stratovolcano,3,"T,P",2,1,,,,,,,,,1
1979,4,30,,,Marapi,Sumatra,Indonesia,-0.38.00,107.54.00,2885,Complex volcano,2,M,80,2,,,,,,,,,2
1979,9,6,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,2,T,3,1,,,11,1,,,,,2
1979,9,12,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,3,T,9,1,,,23,1,,,,,2
1980,5,18,3018,4876,St. Helens,US-Washington,United States,46.2,-122.18.00,2549,Stratovolcano,5,"P,M,T",57,2,,,,,2000,4,,,6
1980,8,17,,,Hekla,Iceland-S,Iceland,79.23.00,-30.06.00,1490,Stratovolcano,3,,,,,,,,,1,,,1
1980,12,25,,,Hood,US-Oregon,United States,51.14.00,-132.35.00,3426,Stratovolcano,,m,1,1,,,,,,,,,1
1981,3,17,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,2,,,,,,,,10,3,,,3
1981,3,29,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,P,1,1,,,,,,,,,1
1981,4,27,,,Alaid,Kuril Is,Russia,64.21.00,164.25.00,2285,Stratovolcano,2,,,,,,,,,1,,,1
1981,5,14,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,m,372,3,120,3,152,3,,,,,9
1981,6,30,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,,m,200,3,,,,,,,,,3
1981,9,5,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32.00,132.48.00,875,Stratovolcano,2,P,,,,,,,,1,,1,2
1981,,,,,Vilyuchinsky,Kamchatka,Russia,52.7,158.28.00,2173,Stratovolcano,,A,,1,,,,,,,,,1
1982,3,29,,7221,"Chichon, El",Mexico,Mexico,17.36,-93.23.00,1150,Tuff cone,5,"P,T,M,S",1879,4,1755,4,,,3.3,2,,,10
1982,4,4,,,"Chichon, El",Mexico,Mexico,17.36,-93.23.00,1150,Tuff cone,5,P,33,1,,,,,,,,,1
1982,5,17,,,Galunggung,Java,Indonesia,-7.25.00,108.58.00,2168,Stratovolcano,4,"I,T",68,2,,,,,15,3,,,5
1982,5,27,,,"Chichon, El",Mexico,Mexico,17.36,-93.23.00,1150,Tuff cone,5,m,1,1,,,,,,,,,1
1983,3,8,,,Klyuchevskoy,Kamchatka,Russia,56.56.00,170.42.00,4754,Stratovolcano,2,T,1,1,,,,,,,,,1
1983,7,23,,,Colo,Sulawesi-Indonesia,Indonesia,-2.42.00,131.01.00,404,Stratovolcano,4,,,,,,,,,2,,3,5
1983,10,3,,4990,Miyakejima,Izu Is-Japan,Japan,35.34.00,147.46.00,775,Stratovolcano,3,"L,T",,,,,,,,1,400,3,4
1984,8,15,5807,,Oku Volcanic Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,,G,37,1,,,,,,,,,1
1984,9,9,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,3,M,1,1,,,,,,,,,1
1984,9,14,,,Ontakesan,Honshu-Japan,Japan,49.53.00,137.48.00,3067,Complex volcano,,A,29,1,,,,,,,,,1
1984,10,16,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,3,S,1,1,,,,,,,,,1
1985,5,10,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,A,70,2,,,,,,,,,2
1985,11,13,,,"Ruiz, Nevado del",Colombia,Colombia,18.52,-80.24.00,5279,Stratovolcano,3,M,23080,4,,,10000,4,,,,,8
1985,12,19,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,1,S,1,1,,,,,,,,,1
1986,5,8,,,Akita-Yakeyama,Honshu-Japan,Japan,55.04.00,152.37.00,1366,Complex volcano,,G,1,1,,,,,,,,,1
1986,7,24,,,Stromboli,Italy,Italy,51.09.00,18.33,924,Stratovolcano,2,T,1,1,,,,,,,,,1
1986,8,21,5808,,Oku Volcanic Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,3,G,1700,4,,,300,3,,,,,7
1986,11,15,,,Izu-Oshima,Izu Is-Japan,Japan,46.04.00,145.34.00,746,Stratovolcano,3,I,1,1,,,,,,,,,1
1986,12,31,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,M,1,1,,,,,,,,,1
1987,1,25,,,Pacaya,Guatemala,Guatemala,20.22,-100.01.00,2569,Complex volcano,3,,,,,,15,1,,1,63,2,4
1987,4,17,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,2,T,2,1,,,7,1,,,,,2
1988,5,9,,,Banda Api,Banda Sea,Pacific Ocean,-12.43.00,143.41.00,596,Caldera,3,"T,L",4,1,,,,,,,,,1
1988,7,6,,,Arenal,Costa Rica,Costa Rica,17.43,-95.43.00,1670,Stratovolcano,3,T,1,1,,,,,,,,,1
1988,7,30,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,T,1,1,,,,,,,,,1
1988,12,25,,,Lonquimay,Chile-C,Chile,-44.19.00,-80.46.00,2832,Stratovolcano,3,T,1,1,,,,,,,,,1
1988,,,,,Akita-Yakeyama,Honshu-Japan,Japan,55.04.00,152.37.00,1366,Complex volcano,,I,3,1,,,,,,,,,1
1989,2,12,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,,G,1,1,,,,,,,,,1
1989,8,26,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Shield volcano,,G,2,1,,,,,,,,,1
1990,2,2,,,Sheveluch,Kamchatka,Russia,66.53.00,161.36.00,3283,Stratovolcano,3,,,,,,,,,1,,,1
1990,2,10,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,4,"T,P",35,1,,,,,,,,,1
1990,3,26,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,2,G,1,1,,,,,,,,,1
1990,4,18,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,2,G,1,1,,,,,,,,,1
1990,5,29,,,Coropuna,Peru,Peru,-15.52.00,-73.05.00,6377,Stratovolcano,3,,,,,,,,,1,,,1
1990,6,24,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-8.06.00,155.14.00,688,Pyroclastic shield,,G,6,1,,,,,,,,,1
1990,7,19,,,Santa Maria,Guatemala,Guatemala,26.37.00,-100.12.00,3745,Stratovolcano,3,T,4,1,,,,,,,,,1
1990,10,19,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,2,G,1,1,,,,,,,,,1
1990,11,21,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52.00,29.25.00,3470,Stratovolcano,,S,1,1,,,,,,,,,1
1990,11,25,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,,m,4,1,,,,,,,,,1
1991,6,3,,,Unzendake,Kyushu-Japan,Japan,44.41.00,134.59.00,1483,Complex volcano,1,P,43,1,,,,,,,,,1
1991,6,15,,5292,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35.00,1486,Stratovolcano,6,"P,m,I",350,3,,,4,1,,3,,,7
1991,6,,,,Mutnovsky,Kamchatka,Russia,59.29.00,161.16.00,2288,Complex volcano,,I,1,1,,,,,,,,,1
1991,7,3,,,Karthala,Indian O-W,Comoros,-12.15.00,43.38.00,2361,Shield volcano,2,,,,,,,,,1,,,1
1991,8,8,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-73.37.00,1905,Stratovolcano,5,,,,,,,,,1,,,1
1991,10,24,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,6.58,137.12.00,1580,Stratovolcano,1,"T,P",1,1,,,,,,,,,1
1991,12,14,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,2,,,,,,,,2.5,2,,,2
1992,1,21,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,2,M,2,1,,,,,,,,,1
1992,3,18,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Complex volcano,,G,1,1,,,2,1,,,,,2
1992,4,10,,,"Negro, Cerro",Nicaragua,Nicaragua,20.26,-97.42.00,728,Cinder cone,3,"T,I",11,1,,,50,1,3,2,,1,5
1992,5,11,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,1,P,6,1,,,1,1,,,,,2
1992,7,5,,,Marapi,Sumatra,Indonesia,-0.38.00,107.54.00,2885,Complex volcano,2,T,1,1,,,5,1,,,,,2
1992,7,12,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35.00,1486,Stratovolcano,1,m,6,1,,,,,,,,,1
1992,9,17,,,Spurr,Alaska-SW,United States,65.59.00,-156.11.00,3374,Stratovolcano,4,I,1,1,,,,,2,2,,,3
1992,,,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,T,3,1,,,,,,,,,1
1993,1,14,,,Galeras,Colombia,Colombia,1.22,-77.37.00,4276,Complex volcano,2,T,9,1,,,,,,,,,1
1993,1,21,,,Wurlali,Banda Sea,Indonesia,-9.05.00,139.15.00,868,Stratovolcano,,m,1,1,,,12,1,,,,,2
1993,2,2,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,2,P,75,2,,,,,,,,,2
1993,3,12,,,Guagua Pichincha,Ecuador,Ecuador,-2.51.00,-87.58.00,4784,Stratovolcano,1,T,2,1,,,,,,,,,1
1993,4,19,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,A,1,1,,,22,1,,,,,2
1993,6,13,,,Krakatau,Indonesia,Indonesia,-7.41.00,112.03.00,285,Caldera,1,T,1,1,,,5,1,,,,,2
1993,6,23,,,Unzendake,Kyushu-Japan,Japan,44.41.00,134.59.00,1483,Complex volcano,1,P,1,1,,,,,,,,1,2
1993,6,26,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35.00,1486,Stratovolcano,1,m,4,1,,,,,,,,,1
1993,10,4,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35.00,1486,Stratovolcano,,m,14,1,,,,,,,,,1
1994,1,15,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-27.52.00,176.27.00,361,Stratovolcano,3,T,1,1,,,,,,,,,1
1994,2,3,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,P,6,1,,,,,,,,,1
1994,5,29,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,1,G,1,1,,,,,,,,,1
1994,9,19,2229,,Rabaul,New Britain-SW Pac,Papua New Guinea,-8.06.00,155.14.00,688,Pyroclastic shield,3,"T,W,E",4,1,,,,,86,4,,,5
1994,11,3,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42.00,116.47.00,3726,Stratovolcano,3,m,31,1,,,,,,,,,1
1994,11,22,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,3,P,66,2,,,100,2,,,,,4
1995,2,4,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-27.52.00,176.27.00,361,Stratovolcano,3,T,2,1,,,,,,,,,1
1995,2,11,,,Yakedake,Honshu-Japan,Japan,39.47.00,146.47.00,2455,Stratovolcano,1,T,4,1,,,,,,,,,1
1995,4,2,,,Fogo,Cape Verde Is,Cape Verde,15.35,-24.35.00,2829,Stratovolcano,2,,,,,,20,1,,1,10,1,3
1995,4,7,,,Pacaya,Guatemala,Guatemala,20.22,-100.01.00,2569,Complex volcano,3,M,1,1,,,,,,1,1,1,3
1995,5,15,,,Kelimutu,Lesser Sunda Is,Indonesia,-9.17.00,122.22.00,1639,Complex volcano,,,1,1,,,,,,,,,1
1995,9,6,,,Melebingoy,Mindanao-Philippines,Philippines,7.53,138.52.00,1824,Stratovolcano,,,60,2,,,,,,2,300,3,7
1996,4,30,,,Popocatepetl,Mexico,Mexico,19.23,-108.22.00,5393,Stratovolcano,3,,5,1,,,,,,1,,,2
1996,8,10,,,Kanlaon,Philippines-C,Philippines,10.41,123.13.00,2422,Stratovolcano,2,T,3,1,,,18,1,,,,,2
1996,9,27,,,Maderas,Nicaragua,Nicaragua,18.26,-93.35.00,1394,Stratovolcano,,m,6,1,,,,1,,,,,2
1996,9,30,,,Grimsvotn,Iceland-NE,Iceland,70.56.00,-22.16.00,1719,Caldera,3,,,,,,,,,1,,,1
1996,12,3,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,3,P,13,1,,,29,1,,,,,2
1997,1,14,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,,6,1,,,,1,,,,,2
1997,4,17,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,1,P,3,1,,,,,,,,,1
1997,6,25,,,Soufriere Hills,W Indies,Montserrat,17.12,-62.18.00,915,Stratovolcano,3,P,22,1,1,,,,,,,,1
1997,7,12,,,Hakkodasan,Honshu-Japan,Japan,50.59.00,154.37.00,1585,Stratovolcano,,G,3,1,,,,,,,,,1
1997,8,1,,,Soufriere Hills,W Indies,Montserrat,17.12,-62.18.00,915,Stratovolcano,3,,2,1,,,,,,,,,1
1997,9,2,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,T,2,1,,,,,,,,,1
1997,9,15,,,Adatarayama,Honshu-Japan,Japan,47.47.00,144.41.00,1728,Stratovolcano,,G,4,1,,,,,,,,,1
1997,11,23,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,,G,2,1,,,,,,,,,1
1998,4,28,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,L,1,1,,,,,,,,,1
1998,7,,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,,m,10,1,,,,,,,,,1
1998,10,30,,,San Cristobal,Nicaragua,Nicaragua,23.42,-87.04.00,1745,Stratovolcano,,m,1620,4,,,,,,,,,4
1999,8,15,,,Sheveluch,Kamchatka,Russia,66.53.00,161.36.00,3283,Stratovolcano,4,,,,,,,,,1,,,1
1999,10,5,,,Guagua Pichincha,Ecuador,Ecuador,-2.51.00,-87.58.00,4784,Stratovolcano,3,T,2,1,,,,,,,,,1
